LAMMPS data file via write_data, version 29 Aug 2024, timestep = 0, units = si

144 atoms
1 atom types

2.995 40 xlo xhi
-4.002 10 ylo yhi
6.996 20 zlo zhi

Masses

1 7750

Atoms # smd

1 1 1 1 1 0.5 0.5 3 -4 7 3 -4 7 1 0 0 0 0
2 1 1 1 1 0.5 0.5 4 -4 7 4 -4 7 1 0 0 0 0
3 1 1 1 1 0.5 0.5 5 -4 7 5 -4 7 1 0 0 0 0
4 1 1 1 1 0.5 0.5 6 -4 7 6 -4 7 1 0 0 0 0
5 1 1 1 1 0.5 0.5 3 -3 7 3 -3 7 1 0 0 0 0
6 1 1 1 1 0.5 0.5 4 -3 7 4 -3 7 1 0 0 0 0
7 1 1 1 1 0.5 0.5 5 -3 7 5 -3 7 1 0 0 0 0
8 1 1 1 1 0.5 0.5 6 -3 7 6 -3 7 1 0 0 0 0
9 1 1 1 1 0.5 0.5 3 -2 7 3 -2 7 1 0 0 0 0
10 1 1 1 1 0.5 0.5 4 -2 7 4 -2 7 1 0 0 0 0
11 1 1 1 1 0.5 0.5 5 -2 7 5 -2 7 1 0 0 0 0
12 1 1 1 1 0.5 0.5 6 -2 7 6 -2 7 1 0 0 0 0
13 1 1 1 1 0.5 0.5 3 -1 7 3 -1 7 1 0 0 0 0
14 1 1 1 1 0.5 0.5 4 -1 7 4 -1 7 1 0 0 0 0
15 1 1 1 1 0.5 0.5 5 -1 7 5 -1 7 1 0 0 0 0
16 1 1 1 1 0.5 0.5 6 -1 7 6 -1 7 1 0 0 0 0
17 1 1 1 1 0.5 0.5 3 0 7 3 0 7 1 0 0 0 0
18 1 1 1 1 0.5 0.5 4 0 7 4 0 7 1 0 0 0 0
19 1 1 1 1 0.5 0.5 5 0 7 5 0 7 1 0 0 0 0
20 1 1 1 1 0.5 0.5 6 0 7 6 0 7 1 0 0 0 0
21 1 1 1 1 0.5 0.5 3 1 7 3 1 7 1 0 0 0 0
22 1 1 1 1 0.5 0.5 4 1 7 4 1 7 1 0 0 0 0
23 1 1 1 1 0.5 0.5 5 1 7 5 1 7 1 0 0 0 0
24 1 1 1 1 0.5 0.5 6 1 7 6 1 7 1 0 0 0 0
25 1 1 1 1 0.5 0.5 3 2 7 3 2 7 1 0 0 0 0
26 1 1 1 1 0.5 0.5 4 2 7 4 2 7 1 0 0 0 0
27 1 1 1 1 0.5 0.5 5 2 7 5 2 7 1 0 0 0 0
28 1 1 1 1 0.5 0.5 6 2 7 6 2 7 1 0 0 0 0
29 1 1 1 1 0.5 0.5 3 3 7 3 3 7 1 0 0 0 0
30 1 1 1 1 0.5 0.5 4 3 7 4 3 7 1 0 0 0 0
31 1 1 1 1 0.5 0.5 5 3 7 5 3 7 1 0 0 0 0
32 1 1 1 1 0.5 0.5 6 3 7 6 3 7 1 0 0 0 0
33 1 1 1 1 0.5 0.5 3 4 7 3 4 7 1 0 0 0 0
34 1 1 1 1 0.5 0.5 4 4 7 4 4 7 1 0 0 0 0
35 1 1 1 1 0.5 0.5 5 4 7 5 4 7 1 0 0 0 0
36 1 1 1 1 0.5 0.5 6 4 7 6 4 7 1 0 0 0 0
37 1 1 1 1 0.5 0.5 3 -4 8 3 -4 8 1 0 0 0 0
38 1 1 1 1 0.5 0.5 4 -4 8 4 -4 8 1 0 0 0 0
39 1 1 1 1 0.5 0.5 5 -4 8 5 -4 8 1 0 0 0 0
40 1 1 1 1 0.5 0.5 6 -4 8 6 -4 8 1 0 0 0 0
41 1 1 1 1 0.5 0.5 3 -3 8 3 -3 8 1 0 0 0 0
42 1 1 1 1 0.5 0.5 4 -3 8 4 -3 8 1 0 0 0 0
43 1 1 1 1 0.5 0.5 5 -3 8 5 -3 8 1 0 0 0 0
44 1 1 1 1 0.5 0.5 6 -3 8 6 -3 8 1 0 0 0 0
45 1 1 1 1 0.5 0.5 3 -2 8 3 -2 8 1 0 0 0 0
46 1 1 1 1 0.5 0.5 4 -2 8 4 -2 8 1 0 0 0 0
47 1 1 1 1 0.5 0.5 5 -2 8 5 -2 8 1 0 0 0 0
48 1 1 1 1 0.5 0.5 6 -2 8 6 -2 8 1 0 0 0 0
49 1 1 1 1 0.5 0.5 3 -1 8 3 -1 8 1 0 0 0 0
50 1 1 1 1 0.5 0.5 4 -1 8 4 -1 8 1 0 0 0 0
51 1 1 1 1 0.5 0.5 5 -1 8 5 -1 8 1 0 0 0 0
52 1 1 1 1 0.5 0.5 6 -1 8 6 -1 8 1 0 0 0 0
53 1 1 1 1 0.5 0.5 3 0 8 3 0 8 1 0 0 0 0
54 1 1 1 1 0.5 0.5 4 0 8 4 0 8 1 0 0 0 0
55 1 1 1 1 0.5 0.5 5 0 8 5 0 8 1 0 0 0 0
56 1 1 1 1 0.5 0.5 6 0 8 6 0 8 1 0 0 0 0
57 1 1 1 1 0.5 0.5 3 1 8 3 1 8 1 0 0 0 0
58 1 1 1 1 0.5 0.5 4 1 8 4 1 8 1 0 0 0 0
59 1 1 1 1 0.5 0.5 5 1 8 5 1 8 1 0 0 0 0
60 1 1 1 1 0.5 0.5 6 1 8 6 1 8 1 0 0 0 0
61 1 1 1 1 0.5 0.5 3 2 8 3 2 8 1 0 0 0 0
62 1 1 1 1 0.5 0.5 4 2 8 4 2 8 1 0 0 0 0
63 1 1 1 1 0.5 0.5 5 2 8 5 2 8 1 0 0 0 0
64 1 1 1 1 0.5 0.5 6 2 8 6 2 8 1 0 0 0 0
65 1 1 1 1 0.5 0.5 3 3 8 3 3 8 1 0 0 0 0
